timestamp,dew,pressure,rain_rate,rh,temp,vpd,wind
2016-06-01 00:01:00,6.2,1032.1,0.0,84.0,8.8,181.0,0.0
2016-06-01 00:06:00,6.2,1032.1,0.0,84.0,8.8,181.0,1.4
2016-06-01 00:11:00,6.3,1032.1,0.0,84.0,8.9,182.0,0.0
2016-06-01 00:16:00,6.4,1032.1,0.0,84.0,9.0,184.0,0.0
2016-06-01 00:21:00,6.4,1032.1,0.0,83.0,9.1,196.0,1.4
2016-06-01 00:26:00,6.3,1031.7,0.0,84.0,8.9,182.0,1.4
2016-06-01 00:31:00,6.2,1031.7,0.0,84.0,8.8,181.0,0.0
2016-06-01 00:36:00,6.3,1031.7,0.0,85.0,8.7,169.0,0.0
2016-06-01 00:41:00,6.3,1032.1,0.0,85.0,8.7,169.0,0.0
2016-06-01 00:46:00,6.4,1032.1,0.0,86.0,8.6,156.0,0.0
2016-06-01 00:51:00,6.5,1031.7,0.0,86.0,8.7,157.0,0.0
2016-06-01 01:11:00,6.2,1031.7,0.0,85.0,8.6,168.0,1.4
2016-06-01 01:16:00,6.3,1031.7,0.0,85.0,8.7,169.0,1.4
2016-06-01 01:21:00,6.1,1031.7,0.0,84.0,8.7,180.0,0.0
2016-06-01 01:31:00,6.0,1031.7,0.0,84.0,8.6,179.0,0.0
2016-06-01 01:37:00,6.0,1031.7,0.0,85.0,8.4,165.0,1.4
2016-06-01 01:42:00,6.0,1031.7,0.0,84.0,8.5,178.0,0.0
2016-06-01 01:52:00,5.9,1031.7,0.0,83.0,8.6,190.0,0.0
2016-06-01 01:57:00,5.9,1031.4,0.0,83.0,8.6,190.0,0.0
2016-06-01 02:07:00,5.6,1031.4,0.0,83.0,8.3,186.0,0.0
2016-06-01 02:12:00,5.4,1031.4,0.0,84.0,7.9,170.0,0.0
2016-06-01 02:17:00,5.3,1031.4,0.0,85.0,7.7,158.0,0.0
2016-06-01 02:22:00,5.3,1031.4,0.0,85.0,7.7,158.0,1.4
2016-06-01 02:27:00,5.5,1031.4,0.0,85.0,7.9,160.0,0.0
2016-06-01 02:32:00,5.5,1031.0,0.0,84.0,8.0,172.0,1.4
2016-06-01 02:37:00,5.7,1031.0,0.0,84.0,8.2,174.0,0.0
2016-06-01 02:47:00,5.6,1031.0,0.0,83.0,8.3,186.0,0.0
2016-06-01 02:52:00,5.5,1031.0,0.0,83.0,8.2,185.0,0.0
2016-06-01 02:57:00,5.4,1031.0,0.0,83.0,8.1,184.0,0.0
2016-06-01 03:02:00,5.3,1031.0,0.0,84.0,7.8,169.0,0.0
2016-06-01 03:12:00,5.2,1031.0,0.0,85.0,7.6,157.0,0.0
2016-06-01 03:17:00,5.1,1031.0,0.0,85.0,7.5,155.0,0.0
2016-06-01 03:22:00,4.9,1031.0,0.0,85.0,7.3,153.0,0.0
2016-06-01 03:27:00,4.9,1031.0,0.0,86.0,7.1,141.0,0.0
2016-06-01 03:33:00,5.0,1031.0,0.0,87.0,7.0,130.0,0.0
2016-06-01 03:38:00,4.9,1031.0,0.0,87.0,6.9,129.0,0.0
2016-06-01 03:43:00,5.0,1031.0,0.0,88.0,6.8,119.0,0.0
